wall,1
building,31
sky,-1
floor,2
tree,31
ceiling,13
road,2
bed,4
window,9
grass,2
cabinet,3
sidewalk,2
person,16
earth,2
door,8
table,7
mountain,-1
plant,31
curtain,12
chair,5
car,-1
water,-1
painting,31
sofa,6
shelf,11
house,31
sea,-1
mirror,31
rug,2
field,2
armchair,5
seat,5
fence,31
desk,7
rock,-1
wardrobe,3
lamp,19
bathtub,31
railing,31
cushion,28
base,31
box,31
column,31
signboard,31
chest,31
counter,10
sand,2
sink,18
skyscraper,31
fireplace,31
refrigerator,14
grandstand,31
path,2
stairs,31
runway,2
case,31
pool_table,31
pillow,28
screen_door,8
stairway,31
river,-1
bridge,-1
bookcase,31
blind,9
coffee_table,7
toilet,17
flower,31
book,25
hill,-1
bench,31
countertop,10
stove,31
palm,31
kitchen_island,10
computer,26
swivel_chair,5
boat,-1
bar,31
arcade_machine,31
hovel,31
bus,-1
towel,31
light,19
truck,-1
tower,31
chandelier,19
awning,31
streetlight,19
booth,31
television,15
airplane,-1
dirt_track,2
apparel,31
pole,31
land,2
bannister,31
escalator,31
ottoman,31
bottle,21
buffet,31
poster,31
stage,31
van,-1
ship,-1
fountain,31
conveyer_belt,31
canopy,31
washer,31
plaything,31
swimming_pool,31
stool,31
barrel,31
basket,31
waterfall,31
tent,31
bag,20
minibike,-1
cradle,31
oven,31
ball,31
food,31
step,31
tank,31
trade_name,31
microwave,31
pot,31
animal,-1
bicycle,-1
lake,-1
dishwasher,31
screen,31
blanket,27
sculpture,31
hood,31
sconce,19
vase,31
traffic_light,-1
tray,31
ashcan,31
fan,31
pier,31
crt_screen,15
plate,31
monitor,15
bulletin_board,31
shower,31
radiator,31
glass,31
clock,29
flag,31
